daily_volume,avg_trade_size,trade_count,volume_volatility,min_trade_size,max_trade_size,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,daily_fees,avg_fee_per_trade,daily_tokens_traded,avg_tokens_per_trade,unique_accounts,unique_coins,pnl_ratio,fee_ratio,avg_pnl_per_dollar,volume_efficiency,pnl_per_trade,value,classification,sentiment_normalized,sentiment_change_1d,sentiment_change_7d,sentiment_ma_7d,sentiment_volatility_30d,date
414208.18,5597.4078,74,10258.5471,10.91,49983.43,486.5625,6.5752,28.607,0.0,236.3449,103.2626,1.3954,237603.4871,3210.8579,2,11,0.0011746810221207843,0.0002493012028564669,0.0011746810221207843,5597.407837837838,6.575168918918919,55,Greed,0.1,1.0,0.0,51.857142857142854,8.961539789695774,2024-01-29
401011.38,8183.9057,49,13172.7586,11.19,50092.36,-173.6542,-3.544,55.423,-182.8784,257.9698,100.2528,2.046,91.4379,1.8661,1,2,-0.00043304056775045715,0.0002499998815494991,-0.00043304056775045715,8183.905714285715,-3.5439632653061226,61,Greed,0.22,6.0,11.0,53.42857142857143,8.913698614408473,2024-01-30
6305647.13,7340.6835,859,13406.601,0.24,93404.22,-799.8408,-0.9311,21.8495,-418.491,285.4157,1549.4115,1.8037,42786.3091,49.8094,1,8,-0.0001268451567684772,0.00024571807866813176,-0.0001268451567684772,7340.683504074505,-0.931130151338766,60,Greed,0.2,-1.0,12.0,55.142857142857146,8.89917986664234,2024-01-31
2008.18,334.6967,6,128.0512,251.89,500.05,0.0,0.0,0.0,0.0,0.0,0.502,0.0837,44986.0,7497.6667,1,3,0.0,0.0002499763468596099,0.0,334.69666666666666,0.0,63,Greed,0.26,3.0,11.0,56.714285714285715,8.728075981843276,2024-02-01
474278.43,11292.3436,42,14973.6182,12.91,50001.17,456.4235,10.8672,41.9312,-75.5037,179.2907,91.5696,2.1802,42139.7368,1003.3271,1,3,0.0009623534647706102,0.0001930713949383826,0.0009623534647706102,11292.343571428572,10.86722619047619,63,Greed,0.26,0.0,14.0,58.714285714285715,8.582593986682104,2024-02-02
603820.0,10782.5,56,15550.354,11.05,50000.06,223.3092,3.9877,68.6266,-181.331,461.7981,109.6623,1.9583,9661.2676,172.5226,1,3,0.00036982742589136784,0.00018161421977386938,0.00036982742589136784,10782.5,3.9876642857142857,60,Greed,0.2,-3.0,5.0,59.42857142857143,8.486703596275557,2024-02-03
203187.53,5805.358,35,9887.5015,11.04,41329.27,47.6239,1.3607,31.9228,-89.8572,126.2161,50.5269,1.4436,20905.1411,597.2897,1,4,0.0002343839587801496,0.000248671252184066,0.0002343839587801496,5805.358,1.360682857142857,60,Greed,0.2,0.0,6.0,60.285714285714285,8.224228294161394,2024-02-04
770198.26,10697.1981,72,15109.8664,11.31,50009.91,-33.4542,-0.4646,46.1079,-161.589,190.0413,165.5495,2.2993,29741.6286,413.0782,1,4,-4.3435828543213944e-05,0.00021494400396407018,-4.3435828543213944e-05,10697.198055555556,-0.4646416666666667,60,Greed,0.2,0.0,5.0,61.0,8.02617843247253,2024-02-05
8047153.41,7396.2807,1088,12404.3133,0.43,51239.97,-215.6159,-0.1982,12.6913,-104.6025,154.0316,988.607,0.9086,55455572.2847,50970.1951,1,5,-2.6794058562884964e-05,0.000122851764891541,-2.6794058562884964e-05,7396.280707720588,-0.1981763786764706,64,Greed,0.28,4.0,3.0,61.42857142857143,7.798909443361253,2024-02-06
6758.73,450.582,15,468.6967,15.21,1597.59,241.2421,16.0828,56.5466,0.0,219.48,0.3397,0.0226,13261.9,884.1267,1,2,0.03569335408670847,5.026084743606057e-05,0.03569335408670847,450.582,16.082806666666666,62,Greed,0.24,-2.0,2.0,61.714285714285715,7.5268866730214565,2024-02-07
26051.12,2605.112,10,2278.4916,105.0,6418.55,770.756,77.0756,139.7457,0.0,408.2553,3.0029,0.3003,5609953.1,560995.31,1,5,0.029586278982907846,0.00011526947199603242,0.029586278982907846,2605.112,77.0756,66,Greed,0.32,4.0,3.0,62.142857142857146,6.978538528947328,2024-02-08
212311.82,6244.4653,34,13407.6455,17.33,49815.32,983.4432,28.9248,108.6223,0.0,560.97,24.9553,0.734,26558.569,781.1344,1,5,0.004632069724988946,0.00011754078894237782,0.004632069724988946,6244.465294117647,28.9248,71,Greed,0.42,-3.0,11.0,67.0,6.753798420403931,2024-02-11
227247.7,14202.9812,16,16754.411,49.91,50019.27,913.8818,57.1176,828.6571,-992.1598,1948.9692,27.1119,1.6945,1017.5594,63.5975,1,3,0.00402152259312096,0.00011930549267141129,0.00402152259312096,14202.98125,57.1176125,70,Greed,0.4,-1.0,10.0,68.42857142857143,6.9856996786293575,2024-02-12
1999.99,142.8564,14,129.0673,17.46,479.68,559.4439,39.9603,37.9802,4.6908,150.9795,-0.04,-0.0029,33158.0,2368.4286,1,1,0.27972195,-2e-05,0.27972195,142.85642857142858,39.96027857142857,79,Extreme Greed,0.58,9.0,15.0,70.57142857142857,7.8498114773469085,2024-02-13
320839.88,2890.4494,111,5941.7433,11.07,37972.07,3830.5998,34.5099,46.3959,-0.0118,225.3676,22.9175,0.2065,160839.6853,1449.0062,2,9,0.011939287848527812,7.142970906765988e-05,0.011939287848527812,2890.4493693693694,34.50990810810811,74,Greed,0.48,-5.0,12.0,72.28571428571429,8.097182708577964,2024-02-14
185188.04,2939.4927,63,6954.8474,13.23,42000.33,1840.7977,29.219,316.4936,-1975.268,1032.6739,30.7063,0.4874,48598.7853,771.4093,2,7,0.009940153805820624,0.00016581145489679274,0.009940153805820624,2939.4926984126987,29.21901111111111,72,Greed,0.44,-2.0,6.0,73.14285714285714,8.335562920127488,2024-02-15
564896.51,3103.827,182,6512.5098,3.31,39917.58,5491.7688,30.1746,123.4402,0.0,1447.8487,27.2252,0.1496,12368863.1442,67960.7865,2,7,0.009721725317054529,4.819502162980221e-05,0.009721725317054529,3103.826978021978,30.174553846153845,72,Greed,0.44,0.0,0.0,73.14285714285714,8.568922731686353,2024-02-16
